_id,created_at,favourite_count,index,retweet_count,text
60e630a8b6b55c49032ae64d,2021-07-06T09:00:53.000Z,5,35,2,"Today at 10:00am PDT Robert Stoltz from @preset_data and @BigDataBrett from @dremio will be doing a live-demo on high-performance #datalake visualization using #Dremio and #ApacheSuperset 📊! Don't forget to register ➡️ https://t.co/j2Jq0UzY54

#DataVisualization #OpenSource"
60e630a8b6b55c49032ae638,2021-07-06T17:50:12.000Z,0,14,1,"RT @SubsurfaceConf: 2 weeks left until Subsurface Live!! Learn from experts who are leading the innovation. Register now!
https://t.co/asGt…"
60e630a8b6b55c49032ae64b,2021-07-06T09:15:00.000Z,1,33,0,"What does #DataVault2 architecture look like? In the third of our short videos for beginners, we explore the architecture of Data Vault 2.0. #DataLake #DataMart and more. Watch here https://t.co/xDwOLSB3BJ #EnterpriseData #Datamodelling @WhereScape #Analytics #data #YouTube #IBM https://t.co/ihIz12lbyt"
60e630a8b6b55c49032ae652,2021-07-06T07:44:42.000Z,0,40,1,"Powering the Digital Next CPG Enterprise with Platforms of Intelligence - https://t.co/ocPJvnUIUy - thanks @RichardEudes #Analytics,#BigData,#Supplychain,#Compliance,#Cybersecurity,#DataEngineering,#DataGovernance,#DataLake,#DataManagement,#DataPrivacy,#DigitalTransformation,#G…"
60e630a8b6b55c49032ae653,2021-07-06T07:44:41.000Z,0,41,0,"Adelaide's new Women's and Children's Hospital sparks contention over treatment spaces - https://t.co/Ht8SyTI6Ei - thanks @RichardEudes #Analytics,#BigData,#DataLake,#Hadoop"
60e630a8b6b55c49032ae656,2021-07-06T07:22:19.000Z,1,44,0,"via @RichardEudes - Why ETL Needs Open Source to Address the Long Tail of Integrations https://t.co/nrxuLxlswg #bigdata, #compliance, #dataengineering, #datagovernance, #datalake, #datamanagement, #dataprivacy, #datascience, #datascience #ds, #gdpr https://t.co/JW17jWecEg"
60e630a8b6b55c49032ae634,2021-07-06T20:00:19.000Z,2,10,3,"Apache Iceberg: An Architectural Look Under the Covers 
https://t.co/ODcscg9Hc6
#Data #DataLake #Analytics #DataManagement #Lakehouse #OpenSource"
60e630a8b6b55c49032ae63e,2021-07-06T13:58:02.000Z,0,20,1,"RT @NEOSLLC: To efficiently ingest data into a data lake, your team must properly evaluate the environment and technology choices. NEOS sha…"
60e630a8b6b55c49032ae642,2021-07-06T12:55:04.000Z,0,24,1,RT @xbsoftware: Some say data lake and data warehouse notions are interchangeable. In the article we define the main difference between the…
60e630a8b6b55c49032ae648,2021-07-06T10:40:25.000Z,0,30,10,"RT @RichardEudes: Top 10 Data Science Coding Schools for Boosting Your Career https://t.co/d5dnjWwXKq #analytics, #artificialintelligence,…"
60e630a8b6b55c49032ae657,2021-07-06T07:17:20.000Z,0,45,0,"Airbnb has blocked tens of thousands of bookings in party crackdown - https://t.co/5Lpf8dk6PJ - thanks @RichardEudes #Analytics,#BigData,#DataEngineering,#DataLake,#DataManagement"
60e630a8b6b55c49032ae65d,2021-07-06T05:31:12.000Z,0,51,2,RT @qubole: In this video we focus XGBoost (a distributed #machinelearning algorithm) &amp; the Telco Customer Churn Dataset to train &amp; predict…
60e630a8b6b55c49032ae65f,2021-07-06T05:24:28.000Z,2,53,1,"Top Data Visualization Tools for 2021 https://t.co/MPzRs3QuQV #analytics #datascience, #artificialintelligence, #bi, #bigdata, #businessanalytics #ba, #businessintelligence, #compliance, #dataengineering, #datagovernance, #datalake, #datamanagement, #dataprivacy, #datascience"
60e630a8b6b55c49032ae667,2021-07-06T01:52:04.000Z,0,61,8,"RT @RichardEudes: Top Data Visualization Tools for 2021 https://t.co/FZsxqj7OyV #analytics #datascience, #artificialintelligence, #bi, #big…"
60e630a8b6b55c49032ae630,2021-07-06T20:04:32.000Z,0,6,1,"RT @dremio: #ScholaryTuesday - Data Lake vs Data Warehouse - The Myth, The Reality and The Benefits
https://t.co/UNLzLwwSx4
#Data #DataLake…"
60e630a8b6b55c49032ae62a,2021-07-06T23:58:01.000Z,0,0,1,RT @FactionInc: Helping enterprise architects unpack today’s cloud data challenges and select the most valuable and cost-effective solution…
60e630a8b6b55c49032ae63b,2021-07-06T16:00:04.000Z,1,17,1,"This is a must-attend FREE conference: 2 days, 30+ sessions on how to innovate with open source technologies such as Arrow, Iceberg, Nessie, Delta Lake, Airflow, Dagster, Superset, Druid, and more. Register today!  #DataLake #DataAnalytics  https://t.co/iOKKCwFP52"
60e630a8b6b55c49032ae64a,2021-07-06T10:40:00.000Z,9,32,10,"Top 10 Data Science Coding Schools for Boosting Your Career https://t.co/d5dnjWwXKq #analytics, #artificialintelligence, #bigdata, #blockchain, #cybersecurity, #datalake, #datascience, #deeplearning, #hadoop, #machinelearning, #neuralnetworks, #nlp, #textanalytics"
60e630a8b6b55c49032ae65a,2021-07-06T07:09:44.000Z,0,48,0,"Gamestop – Exchange leaders say GameStop saga highlights regulatory challenges - https://t.co/Oyy5JGtXaM - thanks @RichardEudes #DataScience #DS,#BigData,#DataLake,#Hadoop"
60e630a8b6b55c49032ae65c,2021-07-06T06:30:15.000Z,0,50,0,"Best Big Data Courses for Beginners to Ace the Technology https://t.co/DZbpazbzUZ #analytics, #analytics #datascience, #artificialintelligence, #bigdata, #businessanalytics, #businessanalytics #ba, #dataengineering, #datagovernance, #datalake, #datamanagement, #datascience, #ha…"
60e630a8b6b55c49032ae63f,2021-07-06T13:03:22.000Z,0,21,10,"RT @RichardEudes: Top 10 Data Science Coding Schools for Boosting Your Career https://t.co/d5dnjWwXKq #analytics, #artificialintelligence,…"
60e630a8b6b55c49032ae640,2021-07-06T13:00:49.000Z,1,22,1,"To efficiently ingest data into a data lake, your team must properly evaluate the environment and technology choices. NEOS shares its lessons learned. 
https://t.co/ugkrh5fDRR
#datalake #database #insurance https://t.co/eyuMiTvCdO"
60e630a8b6b55c49032ae643,2021-07-06T12:54:25.000Z,0,25,10,"RT @RichardEudes: Top 10 Data Science Coding Schools for Boosting Your Career https://t.co/d5dnjWwXKq #analytics, #artificialintelligence,…"
60e630a8b6b55c49032ae649,2021-07-06T10:40:04.000Z,0,31,10,"RT @RichardEudes: Top 10 Data Science Coding Schools for Boosting Your Career https://t.co/d5dnjWwXKq #analytics, #artificialintelligence,…"
60e630a8b6b55c49032ae64e,2021-07-06T08:56:21.000Z,0,36,1,RT @AnalyticsFrance: Powering the Digital Next CPG Enterprise with Platforms of Intelligence - https://t.co/ocPJvnUIUy - thanks @RichardEud…
60e630a8b6b55c49032ae62d,2021-07-06T21:20:00.000Z,0,3,0,#Gartner research says 61% of organisations are using a Data Warehouse as part of their infrastructure. Read the #NewYear #Blog from #DataVault  here https://t.co/Q0CJdh17Qy for some great insight into #DataWarehouse #BIWisdom  #CIO #DataLake #DataHub https://t.co/ipf7AkptOV
60e630a8b6b55c49032ae62b,2021-07-06T23:57:43.000Z,2,1,1,Helping enterprise architects unpack today’s cloud data challenges and select the most valuable and cost-effective solution for your organization. Download the new white paper to learn more: https://t.co/PlT9NWTYwH #datawarehouse #datalake #enterprisearchitect #clouddata https://t.co/4uwxrCy7Yq
60e630a8b6b55c49032ae637,2021-07-06T17:50:14.000Z,0,13,1,"RT @dremio: 2 weeks left until Subsurface Live!! Learn from experts who are leading the innovation. Register now!
https://t.co/76NtPs02xo
#…"
60e630a8b6b55c49032ae62c,2021-07-06T23:12:00.000Z,1,2,0,"Ready to speed up your Presto queries?🎉 Sign up for a free trial of Ahana Cloud! We’ll be there if you get stuck. 👉👉https://t.co/zyBSIZadXK

#saas @prestodb #AWS #S3data #datalake https://t.co/SBRHPPD2zZ"
60e630a8b6b55c49032ae632,2021-07-06T20:04:03.000Z,1,8,0,"To efficiently ingest data into a data lake, your team must properly evaluate the environment and technology choices. NEOS shares its lessons learned. 
https://t.co/V474QDX1LP
#datalake #database #insurance https://t.co/EGVAadTH1a"
